word,rating
service,2
service,5
service,5
service,5
service,4
service,5
service,5
service,1
service,5
service,1
service,1
service,1
service,4
service,3
service,4
service,4
service,4
service,5
service,4
service,5
service,4
service,2
service,5
service,5
service,1
service,1
service,4
service,1
service,2
service,5
service,4
service,5
service,4
service,3
service,4
service,3
service,4
service,4
service,4
service,4
service,2
service,2
service,1
service,5
service,4
service,4
service,3
service,3
service,3
service,4
service,3
service,3
service,5
service,5
service,4
service,5
service,4
service,5
service,3
service,4
service,5
service,5
service,5
service,4
service,2
service,5
service,5
service,4
service,4
service,4
service,4
service,4
service,5
service,3
service,4
service,4
service,4
service,4
service,5
service,2
service,4
service,5
service,4
service,4
service,4
service,4
service,2
service,5
service,4
service,3
service,4
service,5
service,4
service,5
service,5
service,4
service,4
service,5
service,1
service,4
service,3
service,3
service,4
service,4
service,4
service,1
service,3
service,5
service,4
service,4
service,2
service,5
service,3
service,2
service,5
service,4
service,5
service,4
service,1
service,4
service,3
service,4
service,5
service,5
service,1
service,5
service,4
service,1
service,1
service,4
service,3
service,5
service,5
service,2
service,3
service,4
service,5
service,4
service,3
service,4
service,1
service,5
service,4
service,4
service,4
service,3
service,4
service,1
service,4
service,4
service,5
service,4
service,1
service,3
service,5
service,2
service,3
service,4
service,5
service,2
service,5
service,3
service,3
service,1
service,5
service,5
service,1
service,4
service,2
service,5
service,4
service,5
service,4
service,4
service,5
service,5
service,3
service,4
service,5
service,4
service,3
service,5
service,4
service,5
service,2
service,4
service,3
service,3
service,1
service,4
service,5
service,3
service,1
service,5
service,1
service,1
service,4
service,1
service,4
service,4
service,2
service,3
service,1
service,1
service,5
service,1
service,5
service,5
service,1
service,5
service,4
service,5
service,4
service,4
service,1
service,3
service,2
service,4
service,2
service,5
service,1
service,4
service,4
service,5
service,4
service,1
service,3
service,4
service,4
service,5
service,3
service,4
service,5
service,5
service,1
service,5
service,3
service,5
service,4
service,1
service,5
service,4
service,2
service,4
service,5
service,5
service,4
service,5
service,4
service,5
service,1
service,5
service,5
service,1
service,5
service,3
service,4
service,5
service,5
service,5
service,5
service,5
service,4
service,1
service,5
service,4
service,3
service,5
service,5
service,4
service,5
service,2
service,2
service,4
service,4
service,4
service,1
service,1
service,4
service,4
service,5
service,5
service,2
service,5
service,3
service,4
service,5
service,4
service,2
service,3
service,4
service,5
service,1
service,4
japanese,4
japanese,5
japanese,5
japanese,5
japanese,4
japanese,5
japanese,3
japanese,5
japanese,5
japanese,4
japanese,4
japanese,3
japanese,4
japanese,5
japanese,4
japanese,3
japanese,5
japanese,4
japanese,4
